step,object,x,y,zoom,question,answer,layer1_button,layer1_file,layer2_button,layer2_file
#,object_id from the objects tab,horizontal position 0-1 (0.5 = center),vertical position 0-1 (0.5 = center),(1.0 = full image),Heading for this step,Brief 1-2 sentence text,"Optional button text (default: ""Learn more"")",Path to markdown file (e.g. your-story/file.md),"Optional second button text (default: ""Go deeper"")",Path to second markdown file
1,atlas-allegory,0.5,0.5,1,What is Telar?,A framework for visual storytelling. This example explores an allegorical map that reveals more than it first appears to show.,,,,
2,atlas-allegory,0.5,0.5,1,What is this image?,"This 1761 engraving appears to celebrate the Spanish empire - but as we'll see, it actually challenges it. Scholar Natalie Cobo guides readers through telling details.",,,,
3,atlas-allegory,0.477,0.125,8.9,Notice the head,Spain is depicted as the head of this imperial project.,About Coordinates,your-story/about-coordinates.md,,
4,atlas-allegory,0.486,0.277,10,Consider the necklace,The chain is made of ships - it was overseas invasions that expanded the early modern Spanish world.,Guiding Attention,your-story/guiding-attention.md,,
5,atlas-allegory,0.504,0.415,2.9,Look at the Americas,The American landmass forms an ill-defined cloak covering the allegorical woman.,Building an Argument,your-story/building-argument.md,,
6,atlas-allegory,0.478,0.883,10,The Philippines,"In stark contrast to the flowing American cloak, the Philippine Islands give concrete form to the woman's feet.",Visual Rhetoric,your-story/visual-rhetoric.md,,
7,atlas-allegory,0.5,0.5,1,Trade routes,"This allegorical woman is not defined by landmasses but by shipping lanes. Connection, not territory, holds this body together.",The Reveal,your-story/the-reveal.md,Progressive Disclosure,your-story/progressive-disclosure.md
8,atlas-allegory,0.516,0.974,10,The King,"Charles III introduced the centralizing Bourbon reforms, which sought to make the colonial realms subordinate political entities whose function was to provide the metropolis with wealth.",The Ruler's Place,your-story/ruler-place.md,,
9,leviathan,0.486,0.177,3.6,Leviathan,"Hobbes's political thesis shows the opposite: the ruler as container of all society, with people who are indistinct and fungible.",Using Multiple Images,your-story/multiple-images.md,,
10,atlas-allegory,0.5,0.5,1,A challenge to the king,"Our allegorical woman has no form beyond connection, and the ruler is squeezed into the bottom. This image was produced in Manila by Filipino engraver Laureano Atlas, accompanying Vicente de Memije's thesis. In context, it stands as a polemical challenge to Charles III's reforms. This narrative demonstrates how visual storytelling can build scholarly arguments.",What's Next?,your-story/whats-next.md,,
